Fichier - WelzlTime - NaifTime
samples/test-1315.points - 247428 - 85143652
samples/test-1592.points - 282258 - 102773380
samples/test-690.points - 249306 - 100047574
samples/test-741.points - 329165 - 108651969
samples/test-874.points - 369691 - 94451037
samples/test-1179.points - 586976 - 107925411
samples/test-1470.points - 392047 - 90839724
samples/test-997.points - 236852 - 94244236
samples/test-1312.points - 245747 - 83451388
samples/test-1357.points - 2743068 - 98981692
samples/test-1336.points - 378110 - 102298102
samples/test-354.points - 437784 - 99783192
samples/test-41.points - 173305 - 95133847
samples/test-1516.points - 92184 - 101388804
samples/test-73.points - 410740 - 110110446
samples/test-1455.points - 274170 - 109563724
samples/test-347.points - 254995 - 99329472
samples/test-1496.points - 365842 - 117942023
samples/test-137.points - 203076 - 100832092
samples/test-1574.points - 146596 - 107123680
samples/test-715.points - 419850 - 102256826
samples/test-386.points - 355961 - 104999901
samples/test-1537.points - 496810 - 84197957
samples/test-75.points - 438914 - 91382323
samples/test-677.points - 250836 - 89938695
samples/test-1243.points - 254200 - 153216
samples/test-1122.points - 276845 - 94726241
samples/test-1242.points - 169563 - 91993989
samples/test-771.points - 445747 - 97007961
samples/test-243.points - 389347 - 97153261
samples/test-1646.points - 556554 - 85459228
samples/test-247.points - 428123 - 91738190
samples/test-552.points - 447337 - 108797163
samples/test-1640.points - 266050 - 107953030
samples/test-45.points - 379407 - 94657669
samples/test-258.points - 285683 - 102579018
samples/test-549.points - 148472 - 110484272
samples/test-652.points - 329571 - 93295084
samples/test-1090.points - 346183 - 119608227
samples/test-803.points - 555166 - 95345616
samples/test-523.points - 222288 - 101881096
samples/test-1510.points - 215427 - 111725223
samples/test-1487.points - 543743 - 104564071
samples/test-853.points - 266405 - 98553774
samples/test-472.points - 379662 - 107704024
samples/test-162.points - 411462 - 93246792
samples/test-593.points - 425898 - 88832924
samples/test-1025.points - 228448 - 102972944
samples/test-1429.points - 166766 - 102174349
samples/test-1173.points - 386985 - 101631576
samples/test-1212.points - 421629 - 98209021
samples/test-928.points - 316645 - 95450027
samples/test-1571.points - 286336 - 92352646
samples/test-1308.points - 573483 - 98431585
samples/test-380.points - 263277 - 125437447
samples/test-184.points - 303082 - 90554331
samples/test-1070.points - 386981 - 81495176
samples/test-624.points - 451030 - 98498026
samples/test-693.points - 288898 - 105709915
samples/test-1133.points - 434383 - 99307677
samples/test-697.points - 255703 - 104260468
samples/test-264.points - 268652 - 111550410
samples/test-917.points - 560923 - 98859253
samples/test-738.points - 279160 - 92339485
samples/test-1102.points - 524785 - 90310845
samples/test-647.points - 344276 - 94536412
samples/test-959.points - 386151 - 82690895
samples/test-18.points - 282698 - 103781457
samples/test-1418.points - 322537 - 89852109
samples/test-732.points - 355323 - 96853383
samples/test-696.points - 402180 - 108665095
samples/test-1124.points - 302533 - 88461891
samples/test-153.points - 590682 - 88387282
samples/test-529.points - 418387 - 98764713
samples/test-744.points - 584560 - 87575496
samples/test-1284.points - 300946 - 110939109
samples/test-524.points - 382585 - 124736
samples/test-1556.points - 353422 - 85942437
samples/test-1327.points - 169688 - 85387741
samples/test-902.points - 96423 - 93112270
samples/test-805.points - 283249 - 94007934
samples/test-467.points - 385895 - 91564680
samples/test-1493.points - 410266 - 89012726
samples/test-1375.points - 362310 - 100575450
samples/test-1158.points - 387662 - 87858360
samples/test-342.points - 643314 - 96401040
samples/test-1292.points - 284866 - 83670578
samples/test-140.points - 295737 - 101336965
samples/test-710.points - 156231 - 82344239
samples/test-936.points - 2534079 - 84646203
samples/test-409.points - 436028 - 92671030
samples/test-1492.points - 252800 - 190673
samples/test-539.points - 129908 - 112946124
samples/test-490.points - 324663 - 100452121
samples/test-621.points - 322029 - 95827673
samples/test-1246.points - 226144 - 92369220
samples/test-1072.points - 227018 - 111248680
samples/test-999.points - 564857 - 96661835
samples/test-1188.points - 130167 - 733853
samples/test-534.points - 242967 - 100866952
samples/test-157.points - 330783 - 96195390
samples/test-183.points - 344114 - 81050953
samples/test-1206.points - 497110 - 103645579
samples/test-714.points - 384842 - 97009373
samples/test-787.points - 281180 - 80498198
samples/test-1489.points - 295948 - 99129037
samples/test-151.points - 176034 - 105519485
samples/test-201.points - 327881 - 91379067
samples/test-1564.points - 332121 - 90447410
samples/test-124.points - 399886 - 78122290
samples/test-1282.points - 128277 - 80871659
samples/test-709.points - 417335 - 86522976
samples/test-1490.points - 310341 - 100781923
samples/test-745.points - 385913 - 92794817
samples/test-1633.points - 327916 - 101455535
samples/test-1164.points - 362668 - 95228867
samples/test-559.points - 118322 - 109886770
samples/test-271.points - 298429 - 107607365
samples/test-1524.points - 441428 - 87527760
samples/test-131.points - 347148 - 82240633
samples/test-1273.points - 353936 - 94655434
samples/test-242.points - 374419 - 80978699
samples/test-642.points - 324048 - 87687820
samples/test-1420.points - 234942 - 94667414
samples/test-497.points - 199500 - 85775792
samples/test-1291.points - 382307 - 99955505
samples/test-777.points - 233320 - 84607204
samples/test-590.points - 201637 - 94811464
samples/test-32.points - 321138 - 94001179
samples/test-179.points - 124544 - 95167466
samples/test-1181.points - 378930 - 122642199
samples/test-1595.points - 182077 - 90692984
samples/test-909.points - 238405 - 94596270
samples/test-565.points - 243822 - 108858812
samples/test-1469.points - 353125 - 104841480
samples/test-190.points - 668487 - 98623404
samples/test-882.points - 247040 - 93794335
samples/test-610.points - 199406 - 93679708
samples/test-1584.points - 249366 - 96751813
samples/test-890.points - 298470 - 98981910
samples/test-422.points - 389341 - 104574993
samples/test-440.points - 260255 - 96267992
samples/test-255.points - 462459 - 222713
samples/test-1660.points - 480467 - 89274383
samples/test-182.points - 457546 - 78609430
samples/test-232.points - 213906 - 89943353
samples/test-1511.points - 472580 - 112752604
samples/test-1245.points - 255194 - 82858979
samples/test-1056.points - 313398 - 86906226
samples/test-563.points - 309548 - 82329465
samples/test-1094.points - 196308 - 85278545
samples/test-681.points - 481992 - 94727757
samples/test-417.points - 223661 - 92071799
samples/test-1031.points - 410657 - 85659735
samples/test-1549.points - 437926 - 86131414
samples/test-1551.points - 271186 - 102816273
samples/test-265.points - 142378 - 102245670
samples/test-316.points - 515654 - 80414223
samples/test-1663.points - 297629 - 101089542
samples/test-517.points - 231501 - 91098697
samples/test-89.points - 301440 - 123605033
samples/test-1655.points - 629516 - 103597598
samples/test-146.points - 441084 - 98880766
samples/test-1533.points - 181728 - 99292912
samples/test-1599.points - 438125 - 88350038
samples/test-125.points - 336091 - 106922608
samples/test-37.points - 516747 - 108916563
samples/test-71.points - 521897 - 102242678
samples/test-1260.points - 397094 - 88170998
samples/test-1485.points - 430274 - 85169382
samples/test-1092.points - 294585 - 106950762
samples/test-259.points - 288196 - 95973616
samples/test-199.points - 125804 - 302784
