WelzlTime - NaifTime
444 - 91351
145 - 320
221 - 98512
326 - 98148
453 - 97720
370 - 107741
391 - 94285
512 - 79015
218 - 117981
449 - 88051
284 - 113332
339 - 102536
308 - 94000
571 - 101498
492 - 93927
177 - 106872
368 - 106087
727 - 106679
820 - 96470
229 - 85977
456 - 100216
343 - 92761
422 - 99532
863 - 98393
196 - 81017
400 - 104073
424 - 108479
310 - 86174
678 - 126363
194 - 99181
1083 - 104105
225 - 97362
77 - 82568
222 - 106873
491 - 215
411 - 107857
322 - 87859
645 - 94509
666 - 92200
331 - 98876
508 - 89846
370 - 116859
416 - 94114
247 - 123711
213 - 101397
1043 - 106691
349 - 106276
224 - 84277
393 - 93423
408 - 101950
424 - 105085
412 - 101130
511 - 95132
319 - 101344
232 - 88498
488 - 101818
288 - 88708
2204 - 87137
339 - 101766
353 - 99881
377 - 106421
125 - 91731
339 - 92695
232 - 108248
367 - 87482
256 - 111987
397 - 107038
174 - 93328
247 - 95748
251 - 89344
191 - 84165
343 - 83976
458 - 113921
680 - 92688
305 - 90513
562 - 95007
302 - 111602
211 - 87323
275 - 93910
436 - 89884
441 - 567
176 - 84561
189 - 86267
686 - 106457
685 - 87939
104 - 49
296 - 93769
398 - 91022
299 - 96580
273 - 99760
311 - 90155
390 - 90067
340 - 93531
313 - 98243
300 - 237
143 - 100622
375 - 97133
256 - 105291
294 - 95763
282 - 106946
191 - 93067
121 - 75
239 - 92758
149 - 94223
307 - 103001
574 - 87277
533 - 86785
324 - 109099
221 - 103863
296 - 96942
816 - 112626
245 - 91325
577 - 102962
2872 - 84345
757 - 100831
161 - 90353
490 - 87367
377 - 106453
520 - 105728
670 - 82112
293 - 94807
784 - 88725
311 - 103034
163 - 98526
126 - 100710
232 - 87433
319 - 98469
369 - 95342
270 - 93266
373 - 93960
221 - 97159
409 - 99927
404 - 102615
206 - 115107
538 - 86590
280 - 82058
552 - 98948
504 - 89482
582 - 106673
391 - 95096
683 - 87885
406 - 97162
159 - 100125
345 - 91503
232 - 119041
430 - 92440
224 - 106332
123 - 93125
352 - 80854
315 - 95958
365 - 92159
239 - 114102
180 - 91779
270 - 99033
221 - 98978
374 - 83879
411 - 85081
295 - 94805
464 - 87108
387 - 100198
605 - 81778
103 - 89989
293 - 83155
276 - 98754
296 - 81335
299 - 84676
735 - 87188
427 - 104324
